Length_Bytes,Alignment_Bytes,Alpha_Percent,Time_Serial_ns,Time_SIMD_ns
32,32,0,1397,1397
32,32,10,908,1397
32,32,20,1467,978
32,32,30,1397,907
32,32,40,1956,1396
32,32,50,1396,1397
32,32,60,978,1467
32,32,70,1886,1467
32,32,80,1466,908
32,32,90,1396,1397
32,32,100,1467,978
32,1,0,1397,908
32,1,10,1396,1467
32,1,20,1397,978
32,1,30,978,1467
32,1,40,1397,908
32,1,50,1886,908
32,1,60,1467,1396
32,1,70,1397,1397
32,1,80,1397,978
32,1,90,1397,977
32,1,100,1466,1467
41,32,0,1466,978
41,32,10,1397,1397
41,32,20,1467,908
41,32,30,1467,908
41,32,40,1467,1466
41,32,50,1467,908
41,32,60,1816,1397
41,32,70,1955,978
41,32,80,1397,1397
41,32,90,1397,908
41,32,100,1397,978
41,1,0,1467,1467
41,1,10,1886,1397
41,1,20,1397,1396
41,1,30,1396,1397
41,1,40,1467,1466
41,1,50,1466,1397
41,1,60,1396,978
41,1,70,1885,1397
41,1,80,1466,1467
41,1,90,1397,1397
41,1,100,1396,978
53,32,0,1466,1467
53,32,10,1397,1397
53,32,20,1397,977
53,32,30,1397,908
53,32,40,1397,1396
53,32,50,1956,1466
53,32,60,1397,908
53,32,70,1467,1397
53,32,80,1397,1467
53,32,90,1397,1397
53,32,100,1397,1466
53,1,0,1466,1467
53,1,10,1397,908
53,1,20,1397,908
53,1,30,1466,978
53,1,40,1467,978
53,1,50,1886,1397
53,1,60,1885,1397
53,1,70,1886,1466
53,1,80,1467,1467
53,1,90,1467,908
53,1,100,1396,1397
69,32,0,1397,1397
69,32,10,1467,1467
69,32,20,1397,978
69,32,30,1397,978
69,32,40,1885,978
69,32,50,1467,1397
69,32,60,1397,1466
69,32,70,1397,1396
69,32,80,1467,1397
69,32,90,1467,978
69,32,100,1397,978
69,1,0,2374,1467
69,1,10,1397,1397
69,1,20,1397,1397
69,1,30,1397,908
69,1,40,1886,978
69,1,50,1816,978
69,1,60,1397,908
69,1,70,1397,977
69,1,80,1955,978
69,1,90,1467,1397
69,1,100,1467,1397
89,32,0,1396,1467
89,32,10,1886,1397
89,32,20,1467,978
89,32,30,1467,1397
89,32,40,1467,1467
89,32,50,1467,978
89,32,60,1397,1397
89,32,70,1397,1466
89,32,80,978,1397
89,32,90,1397,1397
89,32,100,1397,1466
89,1,0,1467,978
89,1,10,1397,977
89,1,20,1397,1397
89,1,30,1886,1397
89,1,40,1886,908
89,1,50,1466,1467
89,1,60,1886,1397
89,1,70,1956,978
89,1,80,1397,1397
89,1,90,1397,1397
89,1,100,1467,908
114,32,0,1397,1397
114,32,10,1955,908
114,32,20,1886,908
114,32,30,1467,1397
114,32,40,1816,908
114,32,50,1397,1466
114,32,60,1885,1467
114,32,70,1956,978
114,32,80,1467,1396
114,32,90,908,1467
114,32,100,1396,1397
114,1,0,1467,978
114,1,10,1397,1396
114,1,20,1886,1885
114,1,30,1467,1466
114,1,40,1886,1397
114,1,50,978,1467
114,1,60,1886,977
114,1,70,1396,1467
114,1,80,1466,1397
114,1,90,1397,978
114,1,100,1467,1466
147,32,0,1885,978
147,32,10,1886,978
147,32,20,1885,1397
147,32,30,1955,978
147,32,40,2305,1886
147,32,50,1886,1467
147,32,60,1467,1467
147,32,70,1467,1467
147,32,80,1955,1397
147,32,90,1467,908
147,32,100,1466,978
147,1,0,1467,908
147,1,10,1397,1467
147,1,20,1886,977
147,1,30,1467,908
147,1,40,2375,1397
147,1,50,1955,1467
147,1,60,1885,978
147,1,70,1886,1467
147,1,80,1955,978
147,1,90,1886,978
147,1,100,1397,978
190,32,0,1397,1467
190,32,10,1955,978
190,32,20,1397,1467
190,32,30,978,978
190,32,40,1885,1467
190,32,50,1467,1466
190,32,60,1885,1467
190,32,70,1816,1397
190,32,80,1956,1466
190,32,90,1397,1466
190,32,100,1397,1396
190,1,0,1467,1466
190,1,10,1955,1467
190,1,20,1886,1397
190,1,30,1886,1396
190,1,40,1885,978
190,1,50,1885,1397
190,1,60,2375,1397
190,1,70,1886,1467
190,1,80,1956,1466
190,1,90,1467,1466
190,1,100,1466,978
245,32,0,1467,1466
245,32,10,1816,1396
245,32,20,1955,1467
245,32,30,1886,977
245,32,40,1885,1467
245,32,50,1886,1467
245,32,60,1886,978
245,32,70,1886,1396
245,32,80,1816,908
245,32,90,1816,977
245,32,100,978,1396
245,1,0,1467,978
245,1,10,1885,1467
245,1,20,1955,978
245,1,30,1886,1467
245,1,40,1956,1466
245,1,50,2375,1467
245,1,60,1885,1467
245,1,70,1886,1397
245,1,80,1396,908
245,1,90,1397,1396
245,1,100,1397,1397
316,32,0,1467,1397
316,32,10,1467,8521
316,32,20,1956,977
316,32,30,2375,1397
316,32,40,1956,1397
316,32,50,2235,1397
316,32,60,2444,978
316,32,70,2374,1467
316,32,80,2374,978
316,32,90,1886,1467
316,32,100,1955,1467
316,1,0,1397,978
316,1,10,1816,1397
316,1,20,1956,1397
316,1,30,2375,1397
316,1,40,2445,978
316,1,50,2445,1466
316,1,60,2444,978
316,1,70,1956,1396
316,1,80,1885,1397
316,1,90,2375,978
316,1,100,1886,1466
408,32,0,1467,978
408,32,10,1885,1397
408,32,20,2374,978
408,32,30,2864,1397
408,32,40,2375,1397
408,32,50,2864,1397
408,32,60,2374,1466
408,32,70,2933,1466
408,32,80,1397,1397
408,32,90,1886,1467
408,32,100,1397,1467
408,1,0,1956,1467
408,1,10,1886,1397
408,1,20,2375,908
408,1,30,2375,1397
408,1,40,3353,1397
408,1,50,2445,1397
408,1,60,2863,1397
408,1,70,2934,1467
408,1,80,2374,908
408,1,90,1816,1397
408,1,100,1886,978
527,32,0,1467,1396
527,32,10,1885,1397
527,32,20,2445,977
527,32,30,2863,1397
527,32,40,2864,1466
527,32,50,2793,1397
527,32,60,2794,908
527,32,70,2375,978
527,32,80,2375,1397
527,32,90,2374,1397
527,32,100,1466,1397
527,1,0,1467,1397
527,1,10,1955,978
527,1,20,1466,1467
527,1,30,2863,1397
527,1,40,2863,1397
527,1,50,2863,1397
527,1,60,3352,1397
527,1,70,2863,1467
527,1,80,2375,1397
527,1,90,1955,978
527,1,100,1886,1466
679,32,0,1467,1397
679,32,10,2864,1885
679,32,20,2444,978
679,32,30,2444,978
679,32,40,3841,1397
679,32,50,3352,1397
679,32,60,3283,908
679,32,70,2934,1466
679,32,80,2863,978
679,32,90,2374,1397
679,32,100,1467,908
679,1,0,978,977
679,1,10,2375,1467
679,1,20,2305,1397
679,1,30,3352,978
679,1,40,3841,1467
679,1,50,3772,1466
679,1,60,3283,908
679,1,70,3422,1467
679,1,80,2444,1397
679,1,90,1886,1466
679,1,100,977,1397
876,32,0,1467,1466
876,32,10,2444,1397
876,32,20,2864,1466
876,32,30,3422,1466
876,32,40,4819,977
876,32,50,4819,1397
876,32,60,4260,1466
876,32,70,2444,1397
876,32,80,2794,1397
876,32,90,2445,1466
876,32,100,1886,908
876,1,0,1816,1396
876,1,10,2374,1467
876,1,20,2863,1467
876,1,30,3283,907
876,1,40,3772,1467
876,1,50,3771,1397
876,1,60,4260,1397
876,1,70,3422,1467
876,1,80,2864,978
876,1,90,2374,1397
876,1,100,1886,978
1130,32,0,1885,908
1130,32,10,2863,978
1130,32,20,3282,1397
1130,32,30,4191,1466
1130,32,40,4819,1396
1130,32,50,5308,978
1130,32,60,4749,1397
1130,32,70,3771,908
1130,32,80,3772,908
1130,32,90,2933,978
1130,32,100,977,908
1130,1,0,2375,978
1130,1,10,2863,1467
1130,1,20,3772,1466
1130,1,30,4609,978
1130,1,40,4749,1467
1130,1,50,4679,1396
1130,1,60,5238,1467
1130,1,70,4330,978
1130,1,80,3283,1467
1130,1,90,2793,978
1130,1,100,1815,908
1458,32,0,2375,908
1458,32,10,2794,1397
1458,32,20,3841,1467
1458,32,30,4260,1397
1458,32,40,5797,1467
1458,32,50,5797,1397
1458,32,60,4749,1467
1458,32,70,4260,1397
1458,32,80,3911,1396
1458,32,90,3352,1397
1458,32,100,1956,978
1458,1,0,1886,1397
1458,1,10,2933,978
1458,1,20,4191,1397
1458,1,30,4819,1467
1458,1,40,5797,1467
1458,1,50,7054,1467
1458,1,60,5727,978
1458,1,70,4819,1397
1458,1,80,3841,1467
1458,1,90,3212,978
1458,1,100,2444,908
1880,32,0,2375,977
1880,32,10,3841,1467
1880,32,20,5168,977
1880,32,30,5797,1396
1880,32,40,6775,1397
1880,32,50,7543,978
1880,32,60,6705,1397
1880,32,70,6216,978
1880,32,80,6147,1886
1880,32,90,3283,1466
1880,32,100,2374,1467
1880,1,0,2374,1397
1880,1,10,4330,1397
1880,1,20,5727,1466
1880,1,30,27168,1396
1880,1,40,7124,1467
1880,1,50,7193,1397
1880,1,60,7264,978
1880,1,70,5657,1397
1880,1,80,4749,1397
1880,1,90,3352,1466
1880,1,100,2374,1466
2426,32,0,2375,1397
2426,32,10,5308,978
2426,32,20,5797,1467
2426,32,30,6635,1467
2426,32,40,10407,1816
2426,32,50,8939,1467
2426,32,60,9988,1397
2426,32,70,6635,1467
2426,32,80,5308,1397
2426,32,90,3841,978
2426,32,100,2793,978
2426,1,0,2793,978
2426,1,10,4750,1397
2426,1,20,5797,1466
2426,1,30,7054,978
2426,1,40,8660,1467
2426,1,50,8940,1467
2426,1,60,8102,1467
2426,1,70,7124,1397
2426,1,80,5657,1396
2426,1,90,3772,1397
2426,1,100,2375,1397
3129,32,0,3352,1396
3129,32,10,4819,1397
3129,32,20,6355,1467
3129,32,30,9010,1466
3129,32,40,9987,1397
3129,32,50,11035,1467
3129,32,60,9917,1397
3129,32,70,9009,1467
3129,32,80,6705,978
3129,32,90,5657,1396
3129,32,100,2794,1397
3129,1,0,2864,908
3129,1,10,5308,1397
3129,1,20,6635,1397
3129,1,30,8520,1466
3129,1,40,9918,1467
3129,1,50,10965,1397
3129,1,60,10477,1467
3129,1,70,10336,1397
3129,1,80,7264,1397
3129,1,90,5168,978
3129,1,100,2863,978
4036,32,0,3352,1397
4036,32,10,6076,1397
4036,32,20,8171,1397
4036,32,30,10616,1397
4036,32,40,12711,978
4036,32,50,13479,1397
4036,32,60,12851,978
4036,32,70,10895,977
4036,32,80,8032,908
4036,32,90,5727,1396
4036,32,100,3352,1467
4036,1,0,2444,908
4036,1,10,5727,1466
4036,1,20,8171,1466
4036,1,30,12781,1467
4036,1,40,12920,908
4036,1,50,18997,978
4036,1,60,11803,977
4036,1,70,10477,908
4036,1,80,9917,1467
4036,1,90,6146,1466
4036,1,100,3283,1397
5206,32,0,3771,1467
5206,32,10,7753,1397
5206,32,20,10057,1467
5206,32,30,13270,1466
5206,32,40,16622,1467
5206,32,50,17600,1467
5206,32,60,16343,1816
5206,32,70,12502,1397
5206,32,80,9568,1466
5206,32,90,8521,1467
5206,32,100,3772,1397
5206,1,0,4889,1397
5206,1,10,7124,1397
5206,1,20,10057,1397
5206,1,30,16134,1467
5206,1,40,15715,1467
5206,1,50,17670,1396
5206,1,60,16134,978
5206,1,70,13200,1466
5206,1,80,13899,1886
5206,1,90,7193,1467
5206,1,100,3841,1467
6716,32,0,4679,1397
6716,32,10,8521,1396
6716,32,20,20394,1466
6716,32,30,17600,1397
6716,32,40,20044,1467
6716,32,50,21371,1466
6716,32,60,20603,1466
6716,32,70,19905,1467
6716,32,80,11384,1886
6716,32,90,8521,1467
6716,32,100,4749,1397
6716,1,0,5658,978
6716,1,10,8590,1466
6716,1,20,12431,1467
6716,1,30,17111,1397
6716,1,40,20394,1397
6716,1,50,22139,1397
6716,1,60,19555,1467
6716,1,70,16134,1467
6716,1,80,12362,1467
6716,1,90,10547,1397
6716,1,100,4260,1396
8663,32,0,5796,978
8663,32,10,26749,1886
8663,32,20,15714,1397
8663,32,30,20324,1466
8663,32,40,25562,1467
8663,32,50,28426,1466
8663,32,60,24793,1397
8663,32,70,20533,1397
8663,32,80,15295,1397
8663,32,90,10337,1397
